estadios
Maracanã
Morumbi
Mané Garrincha
Castelão
Mineirão
Arruda
Arena do Grêmio
Parque do Sabiá
Albertão
Beira-Rio
Arena Fonte Nova
Neo Química Arena
Nilton Santos
Arena de Pernambuco
Prudentão
Mangueirão
Morenão
Arena Pantanal
Arena da Amazônia
Allianz Parque
Arena da Baixada
Serra Dourada
Couto Pereira
Castelão
Barradão
Pinheirão
Olímpico da USP
Ilha do Retiro
Teixeirão
Pituaçu
Arena das Dunas
Helenão
Arena Barueri
Estádio do Café
Douradão
Santa Cruz
Brinco de Ouro
Boca do Jacaré
Irmão Gino Maria Rossi
Pacaembu
Almeidão
Amigão
Regional Arnaldo Busatto
São Januário
Major Levy Sobrinho
Independência
Aflitos
Ipatingão
Canindé
Centenário
Colosso da Lagoa
Vila Belmiro
Arena da Fonte Luminosa
Kleber Andrade
Bezerrão
Presidente Vargas
Raulino de Oliveira
Arena Condá
Arena Joinville
Arena do Jacaré
Arena Acreana
Willie Davids
Alfredo Jaconi
Heriberto Hülse
Vail Chaves
Moisés Lucarelli
Orlando Scarpelli
Lacerdão
Arena Capivari
Alfredão
Novelli Júnior
Parque São Jorge
Palma Travassos
Barão de Serra Negra
Ítalo del Cima
Luthero Lopes
Ressacada
Felipão
Vila Capanema
Nabi Abi Chedid
Trapichão
Adail Nunes da Silva
Anacleto Campanella
Martins Pereira
Arena Cruzeiro
Silvio Salles
Uberabão
Décio Vitta
Jóia da Princesa
Curuzu
Herminio Ometto
Dario Rodrigues Leite
Carneirão
Pedro Eymard
Gilbertão
Primeiro de Maio
Prefeito José Costa
Arena Batistão
Boca do Lobo
Melão
Jayme Cintra
Frasqueirão
Bento de Abreu
Alfredo Chiavegato
Arapucão
Carlos Affini
Montanha dos Vinhedos
JK
José Maria Campos Maia
Moacyrzão
Giulite Coutinho
Maria Teresa Breda
Vermelhão da Serra
Torquato Pontes
Antonio Lins Ribeiro Guimarães
Lancha Filho
Francisco Nogueira Filho
Bruno José Daniel
Anísio Haddad
Jorge Ismael de Biasi
Amaros
Passo d'Areia
Serrinha
Walter Ribeiro
Zerão
Olímpico
Arena Romeirão
Ícaro de Castro Melo
Otacília Patrício Arroyo
Fortaleza
Gigante do Norte
Bento Freitas
Oswaldo Scatena
Zezinho Magalhães
Joaquim de Morais Filho
14 de Dezembro
Fumeirão
Antônio Accioly
José Liberatti
Serra do Lago
Cornélio de Barros
Ademir Cunha
Caio Martins
Marizão
Municipal de Quiterianópolis
Baenão
Colosso do Tapajós
Alonso Carvalho Braga
OBA
Breno Ribeiro do Val
Luiz Viana Filho
Mirandão
Lomantão
Nhozinho Santos
Adhermazão
Geraldão
Gigante do Itiberê
CE Umuarama
Marizão
Carneirão
Jonas Duarte
Grito da Republica
Bom Jesus da Lapa
Germano Krüger
Junco
Colina
Dos Pássaros
Domingão
Vavazão
Parque do Bacurau
Sócrates Stamato
Nicolau Alayon
Barrettão
José Sidney Cunha
Gilbertão
Octávio da Silva Bastos
Arena do Calçado
Bernardo Rubinger de Queiroz
Teotônio Vilela
Florestão
Estrela D'Alva
Cristo Rei
Complexo Esportivo da ULBRA
Vila Olímpica
VGD
Nogueirão
Luís Augusto de Oliveira
Distrital do Inamar
Aryzão
Jair Siqueira Bittencourt
Arena Guanabara
Odair Gama
Aluizão
Canarinho
Augustinho Lima
Frei Epifânio
Nilton Santos
Presidente Médici
Ribeirão
Passo das Emas
